experiment_id,project_id,APP,PER,MEL,APP:PER,IFR,Nanoclay,expansion_ratio,char_quality,adhesion,viscosity,status,formula
EXP-001,p1,30,15,10,2,55,,14.2,GOOD,85,1200,success,
EXP-002,p1,35,12,8,2.92,55,,18.7,EXCELLENT,90,1350,success,
EXP-003,p1,28,10,12,2.8,50,,9.4,FAIR,72,980,partial,
EXP-004,p1,30,15,10,2,55,3,21.3,EXCELLENT,92,1480,success,
EXP-005,p1,25,15,18,1.67,58,,6.1,POOR,58,760,failure,
EXP-006,p1,32,14,11,2.29,57,,23.8,EXCELLENT,95,1560,production_formula,
EXP-007,p1,20,10,8,2,38,,11.5,FAIR,68,890,partial,
EXP-008,p1,30,16,10,1.875,56,,17.9,GOOD,88,1100,success,
EXP-009,p1,38,13,9,2.92,60,5,27.1,EXCELLENT,94,1620,success,
EXP-010,p1,22,18,14,1.22,54,,8.3,POOR,41,650,failure,
